OBJECTID,NAME,LINE,Long,Lat,pass,stairs,borough
1734,Birchall Ave & Sagamore St at NW corner,2-5,-73.86835600032798,40.84916900104506,8592,5,Bronx
1735,Birchall Ave & Sagamore St at NE corner,2-5,-73.86821300022677,40.84912800131844,2411,6,Bronx
1736,Morris Park Ave & 180th St at NW corner,2-5,-73.87349900050798,40.84122300105249,4395,8,Bronx
1737,Morris Park Ave & 180th St at NW corner,2-5,-73.8728919997833,40.84145300067447,2201,8,Bronx
1738,Boston Rd & 178th St at SW corner,2-5,-73.87962300013866,40.84081500075867,701,8,Bronx
1739,Boston Rd & E Tremont Ave at NW corner,2-5,-73.88000500027815,40.840434000875874,7462,8,Bronx
1740,Boston Rd & E Tremont Ave at NE corner,2-5,-73.87983300021861,40.84035400111976,2805,7,Bronx
1741,Boston Rd & 178th St at SE corner,2-5,-73.8795549998336,40.84063900116436,5137,6,Bronx
1742,Boston Rd & 178th St at NW corner,2-5,-73.87939700013239,40.84107800066419,4248,4,Bronx
1743,Boston Rd & 174th St at SW corner,2-5,-73.88804799985908,40.83732500129732,9665,6,Bronx
1744,Boston Rd & 174th St at NW corner,2-5,-73.88775499967073,40.83759900080287,8157,8,Bronx
1745,Southern Blvd & Freeman St at SW corner,2-5,-73.8920200000541,40.82990300129103,2310,10,Bronx
1746,Southern Blvd & Freeman St at NW corner,2-5,-73.89201499957316,40.83036900118696,5443,5,Bronx
1747,Westchester Ave & Simpson St at NE corner,2-5,-73.8928969996593,40.824356000986995,4524,3,Bronx
1748,Westchester Ave & Simpson St at NW corner,2-5,-73.89311400018327,40.82417700086825,1357,4,Bronx
1749,Westchester Ave & Simpson St at NE corner,2-5,-73.89272399968436,40.82435800046701,6364,4,Bronx
1750,Intervale Ave & Westchester Ave at NE corner,2-5,-73.89650800005289,40.82240000099551,6852,5,Bronx
1751,Intervale Ave & Westchester Ave at NE corner,2-5,-73.89671899954544,40.822447000685614,3373,3,Bronx
1752,Intervale Ave & Westchester Ave at SE corner,2-5,-73.89668100059053,40.82209500126821,8281,4,Bronx
1753,Westchester & 160th St at SW corner,2-5,-73.90195799960925,40.81958300055107,9652,4,Bronx
1754,Prospect Ave & 160th St at NW corner,2-5,-73.90166599969895,40.81988700097359,8939,10,Bronx
1755,Jackson Ave & 152nd St at NE corner,2-5,-73.90794199971145,40.816201000889976,830,10,Bronx
1756,Jackson Ave & 152nd St at NE corner,2-5,-73.90783599990867,40.81634900118909,6350,3,Bronx
1757,Jackson Ave & Westchester Ave at NE corner,2-5,-73.90789300002874,40.816589001345,3323,6,Bronx
1758,Jackson Ave & Westchester Ave at NW corner,2-5,-73.90737899951296,40.81687300084191,1510,6,Bronx
1759,Melrose Ave & 149th St at NW corner,2-5,-73.91779800052478,40.816247000954746,8383,7,Bronx
1760,Melrose Ave & 149th St at NE corner,2-5,-73.91754299959281,40.816315000918856,4810,10,Bronx
1761,Melrose Ave & 149th St at NW corner,2-5,-73.91793400026026,40.81624200101981,5659,8,Bronx
1762,3rd Ave & 149th St at NW corner,2-5,-73.91745600003321,40.816265000695616,1972,5,Bronx
1763,Adam C. Powell Blvd & 149th St at NE corner,3,-73.93698100017718,40.82406900082459,5587,3,Manhattan
1764,Lenox Ave & 145th St at SW corner,3,-73.9365079998309,40.820343000629556,1012,5,Manhattan
1765,Lenox Ave & 145th St at NW corner,3,-73.93627500051028,40.82066200082306,4993,8,Manhattan
1766,Lenox Ave & 135th St at SW corner,2-3,-73.94111700020044,40.81402400066214,2913,4,Manhattan
1767,Lenox Ave & 135th St at NW corner,2-3,-73.94090999997408,40.81431600078061,2356,7,Manhattan
1768,Lenox Ave & 125th St at SW corner,2-3,-73.94575199990311,40.80768100084603,7575,2,Manhattan
1769,Lenox Ave & 125th St at NW corner,2-3,-73.94552399978897,40.807995000617474,5368,5,Manhattan
1770,Lenox Ave & 116th St at SW corner,2-3,-73.94994299962482,40.80194500059596,4189,3,Manhattan
1771,Lenox Ave & 116th St at NW corner,2-3,-73.9497339996279,40.802229000880594,5094,8,Manhattan
1772,St Nicholas Ave & Central Park North at NW corner,2-3,-73.95267200045232,40.79849700071488,6408,3,Manhattan
1773,Main St & Roosevelt Ave at SE corner,7,-73.82988499974958,40.75954200052247,9897,10,Queens
1774,Main St & Roosevelt Ave at NE corner,7,-73.82994300022399,40.75970600083494,8340,10,Queens
1775,Main St & Roosevelt Ave at SE corner,7,-73.82992700036094,40.75945100062502,7256,4,Queens
1776,Main St & Roosevelt Ave at NW corner,7,-73.83040800033365,40.75958700091248,7984,7,Queens
1777,Main St & Roosevelt Ave at SW corner,7,-73.83033299958196,40.75940400122518,3346,5,Queens
1778,126th St & Roosevelt Ave at NW corner,7,-73.84573700003628,40.754777000898834,7628,2,Queens
1779,126th St & Roosevelt Ave at SW corner,7,-73.84583200008146,40.754394001173765,6792,5,Queens
1780,126th St & Roosevelt Ave at NW corner,7,-73.846014000518,40.75465700078071,6228,3,Queens
1781,126th St & Roosevelt Ave at NW corner,7,-73.84559800035487,40.75476800051026,7158,6,Queens
1782,111th St & Roosevelt Ave at NW corner,7,-73.85606500055066,40.75161000050445,4419,5,Queens
1783,111th St & Roosevelt Ave at SW corner,7,-73.85599600026607,40.7514230005298,9965,7,Queens
1784,111th St & Roosevelt Ave at SE corner,7,-73.85562800021326,40.751551000801946,1049,3,Queens
1785,103rd St & Roosevelt Ave at SE corner,7,-73.8623889994136,40.74978700120902,1041,5,Queens
1786,103rd St & Roosevelt Ave at NE corner,7,-73.86242500039948,40.74997300072977,9706,9,Queens
1787,103rd St & Roosevelt Ave at SE corner,7,-73.86253700028536,40.749775001274365,2143,5,Queens
1788,103rd St & Roosevelt Ave at NE corner,7,-73.86254600024824,40.74996400053782,985,5,Queens
1789,Junction Boulevard & Roosevelt Avenue at NE corner,7,-73.86937600053827,40.749263000986595,5161,8,Queens
1790,Junction Blvd & Roosevelt Ave at SE corner,7,-73.8691200004944,40.74909500084612,2755,6,Queens
1791,Junction Blvd & Roosevelt Ave at NE corner,7,-73.86921999985785,40.74926600095647,1475,5,Queens
1792,Junction Blvd & Roosevelt Ave at SW corner,7,-73.86957400050606,40.7490280012045,5407,8,Queens
1793,Junction Blvd & Roosevelt Ave at NW corner,7,-73.86969600002895,40.7492130007807,3149,10,Queens
1794,90th St & Roosevelt Ave at SE corner,7,-73.87643200054285,40.748318000803934,7525,9,Queens
1795,90th St & Roosevelt Ave at NE corner,7,-73.87646099976699,40.74859000125293,4914,6,Queens
1796,90th St & Roosevelt Ave at NW corner,7,-73.87659099944513,40.748582000928245,4966,9,Queens
